CITY_CODE,WIFI_NO,WIFI_NAME,WIFI_NAME_KANA,WIFI_ADDRESS,SSID,WIFI_AREA,WIFI_URL,LAST_UPDATED
131067,131067001,台東区,下町風俗資料館, シタマチフウゾクシリョウカン,上野公園2-1,Taito_Free_Wi-Fi,1階、2階,
131067,131067002,台東区,下町風俗資料館付設展示場（旧吉田屋酒店）, シタマチフウゾクシリョウカンフセツテンジジョウ（キュウヨシダヤサケテン）,上野桜木2-10-6,Taito_Free_Wi-Fi,1階,
131067,131067003,台東区,朝倉彫塑館, アサクラチョウソカン,谷中7-18-10,Taito_Free_Wi-Fi,1階受付室付近,
131067,131067004,台東区,書道博物館, ショドウハクブツカン,根岸2-10-4,Taito_Free_Wi-Fi,1階受付室付近,
131067,131067005,台東区,一葉記念館, イチヨウキネンカン,竜泉3-18-4,Taito_Free_Wi-Fi,1階受付室付近,
131067,131067006,台東区,隅田公園（リバーサイドギャラリー）, スミダコウエン（リバーサイドギャラリー）,花川戸1-1,Taito_Free_Wi-Fi,1階,
131067,131067007,台東区,隅田公園（案内所）, スミダコウエン（アンナイジョ）,花川戸1-1-22,Taito_Free_Wi-Fi,,
131067,131067008,台東区,隅田公園（公園管理事務所）, スミダコウエン（コウエンカンリジムショ）,花川戸2-1-13,Taito_Free_Wi-Fi,,
131067,131067009,台東区,上野中央通り地下駐車場, ウエノチュウオウドオリチカチュウシャジョウ,上野2-13地先,Taito_Free_Wi-Fi,受付事務所付近,
131067,131067010,台東区,雷門地下駐車場, カミナリモンチカチュウシャジョウ,雷門2-18地先,Taito_Free_Wi-Fi,受付事務所付近,
131067,131067011,台東区,根岸社会教育館, ネギシシャカイキョウイクカン,根岸5-18-3,Taito_Free_Wi-Fi,1階事務室付近,
131067,131067012,台東区,小島社会教育館, コジマシャカイキョウイクカン,小島1-5-2,Taito_Free_Wi-Fi,2階ホール付近,
131067,131067013,台東区,区役所本庁舎, クヤクショホンチョウシャ,東上野4-5-6,Taito_Free_Wi-Fi,1階,
131067,131067014,台東区,台東リバーサイドスポーツセンター, タイトウリバーサイドスポーツセンター,今戸1-1-10,Taito_Free_Wi-Fi,1階受付カウンター付近,
131067,131067015,台東区,台東区民会館, タイトウクミンカイカン,花川戸2-6-5,Taito_Free_Wi-Fi,9階事務室付近,
131067,131067016,台東区,環境ふれあい館ひまわり, カンキョウフレアイカンヒマワリ,蔵前4-14-6,Taito_Free_Wi-Fi,5階事務室付近,
131067,131067017,台東区,谷中防災コミュニティセンター, ヤナカボウサイコミュニティセンター,谷中5-6-5,Taito_Free_Wi-Fi,1階ロビー,
131067,131067018,台東区,江戸たいとう伝統工芸館, エドタイトウデントウコウゲイカン,浅草2-22-13,Taito_Free_Wi-Fi,1階、2階,
131067,131067019,台東区,柳北スポーツプラザ, リュウホクスポーツプラザ,浅草橋5-1-8,Taito_Free_Wi-Fi,1階受付カウンター付近,
131067,131067020,台東区,中小企業振興センター, チュウショウキギョウシンコウセンター,小島2-9-18,Taito_Free_Wi-Fi,1階受付室付近,
131067,131067021,台東区,台東一丁目区民館, タイトウイッチョウメクミンカン,台東1-25-5,Taito_Free_Wi-Fi,1階受付カウンター付近,
131067,131067022,台東区,東上野区民館, ヒガシウエノクミンカン,東上野3-24-6,Taito_Free_Wi-Fi,受付室付近,
131067,131067023,台東区,生涯学習センター, ショウガイガクシュウセンター,西浅草3-25-16,Taito_Free_Wi-Fi,1階受付カウンター付近,
131067,131067024,台東区,産業研修センター, サンギョウケンシュウセンター,橋場1-36-2,Taito_Free_Wi-Fi,事務室付近,
131067,131067025,台東区,浅草文化観光センター, アサクサブンカカンコウセンター,雷門2-18-9,Taito_Free_Wi-Fi,地下1階、1階から8階までの各階,
131067,131067026,台東区,隅田公園（山谷堀広場）, スミダコウエン（サンヤボリヒロバ）,浅草7-1,Taito_Free_Wi-Fi,,
131067,131067027,台東区,観光案内板（JR上野駅入谷口先）, カンコウアンナイバン（ジェイアールウエノエキイリヤグチサキ）,上野7-1先,Taito_Free_Wi-Fi,,
