CITY_CODE,WIFI_NO,WIFI_NAME,WIFI_NAME_KANA,WIFI_ADDRESS,SSID,WIFI_AREA,WIFI_URL,LAST_UPDATED
130001,1,葛西臨海公園,カサイリンカイコウエン,東京都江戸川区臨海町6-2-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,2,夢の島公園,ユメノシマコウエン,東京都江東区夢の島2-1-2,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,3,潮風公園,シオカゼコウエン,東京都品川区東八潮1-2,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,4,武蔵野の森公園,ムサシノノモリコウエン,東京都府中市朝日町3-5-12,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,5,日比谷公園,ヒビヤコウエン,東京都千代田区日比谷公園1-6,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,6,上野恩賜公園,ウエノオンシコウエン,東京都台東区上野公園5-20,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,7,代々木公園,ヨヨギコウエン,東京都渋谷区代々木神園町2-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,8,井の頭恩賜公園,イノガシラオンシコウエン,東京都武蔵野市御殿山1-18-31,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,9,浜離宮恩賜庭園,ハマリキュウオンシテイエン,東京都中央区浜離宮庭園1-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,10,旧芝離宮恩賜庭園,キュウシバリキュウオンシテイエン,東京都港区海岸1-4-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,11,小石川後楽園,コイシカワコウラクエン,東京都文京区後楽1-6-6,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,12,六義園,ロクギエン,東京都文京区本駒込6-16-3,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,13,向島百花園,ムコウジマヒャッカエン,東京都墨田区東向島3-18-3,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,14,清澄庭園,キヨスミテイエン,東京都江東区清澄3-3-9,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,15,旧岩崎邸庭園,キュウイワサキテイテイエン,東京都台東区池之端1-3-45,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,16,旧古河庭園,キュウフルカワテイエン,東京都北区西ヶ原1-27-39,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,17,殿ヶ谷戸庭園,トノガヤトテイエン,東京都国分寺市南町2-16,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,18,恩賜上野動物園,オンシウエノドウブツエン,東京都台東区上野公園9-83,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,19,多摩動物公園,タマドウブツコウエン,東京都日野市程久保7-1-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,20,井の頭自然文化園,イノガシラシゼンブンカエン,東京都武蔵野市御殿山1-17-6,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,21,葛西臨海水族園,カサイリンカイスイゾクエン,東京都江戸川区臨海町6-2-3,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,22,東京都江戸東京博物館,トウキョウトエドトウキョウハクブツカン,東京都墨田区横網1-4-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,23,江戸東京たてもの園,エドトウキョウタテモノエン,東京都小金井市桜町3-7-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,24,トーキョーワンダーサイト・本郷,トーキョーワンダーサイト・ホンゴウ,東京都文京区本郷2-4-16,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,25,トーキョーワンダーサイト・渋谷,トーキョーワンダーサイト・シブヤ,東京都渋谷区神南1-19-8,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,26,東京都美術館,トウキョウトビジュツカン,東京都台東区上野公園8-36,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,27,東京文化会館,トウキョウブンカカイカン,東京都台東区上野公園5-45,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,28,東京芸術劇場,トウキョウゲイジュツゲキジョウ,東京都豊島区西池袋1-8-１,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
130001,29,東京都庁舎,トウキョウトチョウシャ,東京都新宿区西新宿2-8-1,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,2018-09-03
